category,resource_name,status_page,favicon_url,check_type,scrape_keywords,api_config
K-8|K-5|K-12|9-12|6-12|6-8,IXL,https://status.ixl.com/,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,GoGuardian,https://status.goguardian.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,Destiny Library Manager,https://status.follettsoftware.com/,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Code.org,https://status.code.org/api/v2/summary.json,,api,,"{""fieldPath"":""page.status""}"
K-8|K-5|K-12|9-12|6-12|6-8,Clever,https://status.clever.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,CK-12,https://status.ck12.org/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,EduBlogs,https://status.campuspress.com/,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Wayground (formerly Quizizz),https://quizizz.freshping.io,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Gimkit,https://gimkit.crisp.watch/en/,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,123test.com Career Aptitude Test,https://123test.com,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,PowToon,http://status.powtoon.com/,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Boom Learning,http://status.boomlearning.com,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Book Widgets,https://bookwidgets.com,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,BookSource,https://booksource.com,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Diigo,https://diigo.com,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Edpuzzle,https://edpuzzle.com/,,heartbeat,,
